"text","class"
"Ulan Wifi'ye bagliyim ben. Ona bagliyken Turkcell internet paketin bitti diye nasil mesaj atabilir bana ya? Onu da mi odeyelim", "olumsuz"
"20 dk 1 GB internet 500 mb sadece kasar turkcell de duser. Oc cocuklari.", "olumsuz"
"Ayrica turkcell superonline reklami kadar da kotu bir reklam gormemistim", "olumsuz"
"Turkcell cok pahali ya", "olumsuz"
"Turkcell Kas'ta internetin cekmiyor", "olumsuz"
"Turkcell'in Allah belasi versin demek isterdim ama demicem. Demedim farzedin. Nasil bir internettir bu ya yuregim sisti!", "olumsuz"
"Canin cehenneme turkcell", "olumsuz"
"Turkcell yonetimini eline geciren AKP hukumeti; abonelere secim propagandasi mesajlari gonderiyor", "olumsuz"
"Turkcell serefsizdir aksini iddia eden turkcelldir", "olumsuz"
"Turkcell'den elimi ayagimi cektigim iyi oldu", "olumsuz"
"Senin turkcell gibi allah belani versin", "olumsuz"
"Bayramdan sonra vodafone geciyorum turkcell kazikci amk", "olumsuz"
"Of evin her kosesinden Turkcell geciyor bizi kaziklamalariyla kalmayip birde internetleri dusuk hizli", "olumsuz"
"Hay senin turkcell gibi cekim gucunu ... Nalet olsun", "olumsuz"
"Sehir disindayim burada da turkcell internet cekmiyor. Bide turkcell fuul cekiyor diyorlar", "olumsuz"
"Turkcell senin ben amk 10 dakikalik videoyu izlemek icin yarim saat dolmasini bekliyorum", "olumsuz"
"Turkcell 'e baglanmak amerikaya gitmekten daha zor", "olumsuz"
"Su turkcell durduk yere kac lirami yedi ya kafasina gore paralar cekiyo", "olumsuz"
"Turkcell im lan her saatte araman ayip degil mi? Nalet .", "olumsuz"
"turkcell gittikce; iyice sacmalamaya basladim diyor olumsuz", "olumsuz"
"Kendimi kurtardigima en cok sevindigim kurumlar 3 turkcell 2 digiturk 1 garanti", "olumsuz"
"Turkcell'in interneti kadar rezil bir sey olamaz", "olumsuz"
"turkcell mal ya koyde cekmeyeceksen hicbi yerde cekme", "olumsuz"
"Reklamlarinda surekli cocuklari ve yerel degerleri kullanan Turkcell'e ayar oluyorum.", "olumsuz"
"Yaylada telefon cekmiyor sozde toroslarda turkcell 4 cekiyor", "olumsuz"
"Sahrayiceditin gobeginde tek centik ceken turkcell dort 4.5 g ye gecmis sen once cekim gucunu yukselt sonra gecmesi kolay", "olumsuz"
"Turkcell kullanan geri zekalidir. interneti biraz daha hizli diye niye 23 lira vermek varken 35 lira vereyim ams salak miyim ben", "olumsuz"
"Turk operatorleri tipki AB'deki operator turevleri gibi halka hediye olarak urun sunmali. Yillardir halki somuren Turkcell ne yapti?", "olumsuz"
"Turkcell'in musteri hizmetleri kalitesi felaket .. Simdi Face hesabimdan ayni yaziyi tum arkadaslarimla paylasacagim", "olumsuz"
"Ne malsin turkcell yaa agzima ettin ressmen", "olumsuz"
"Turkcell 10G de yapsa bu internet duzelmez. Bir fotografin acilmasi yarim saat suruyor", "olumsuz"
"Hani turkcell heryerde cekiyordu", "olumsuz"
"Acaba benim hattim neden kendi ustumde deyil bu turkcell in kaziklarindan biktim amk baba duy sesimi", "olumsuz"
"En kazik operator Turkcell'dir aksini idda eden olmasin", "olumsuz"
"turkcell kadar serrefsiz bi operator daha yok", "olumsuz"
"ciftehan da turkcell neden cok az cekiyor", "olumsuz"
"Turkcell kadar mal bi operator yok aq", "olumsuz"
"Numarami degistiriyorum yeter. Turkcell amk.", "olumsuz"
"Cart parasi curt parasi diye surekli faturama geciren turkcell sana da cok sovdum.", "olumsuz"
"30 liraya sinirsiz internet yaptirdim sanirim turkcell yine kazik atti yine keklendim arkadaslar", "olumsuz"
"Ve bu kosede de yavasliktan olen bir adet Turkcell", "olumsuz"
"Turkcell'in amk niye cekmiyor bu internet", "olumsuz"
"Turkcell cekmiyooo kahretsin", "olumsuz"
"Turkcell somuruyor bildigin", "olumsuz"
"Turkcell allah belani versin", "olumsuz"
"turkcell in allah belasini versin bu da ilk bedduamdir", "olumsuz"
"Turkcell Yalan soyleyen sigortali telefonumu sigorta kapsaminda degil diyerek geri ceviren Turkcell'den hala ses seda yok", "olumsuz"
"Eve geldim hala turkcell deki adama sinirim gecmedi ..", "olumsuz"
"Turkcell her yerde ceker diyorsunuz lan evin ortasinda sahin pozu aldim yine de cekmiyor", "olumsuz"
"Turkcell e gectigim icin pismanim", "olumsuz"
"Allahin belasi kazik turkcell !!!!", "olumsuz"
"internet paketini somuruyor yine allahsiz turkcell", "olumsuz"
"Turkcelle gectim turkcell evde cekmiyo aq", "olumsuz"
"Ne bicim Turkcell'sin sen ya sehirdeyim cekmiyor.", "olumsuz"
"Klozette edge cekiyor turkcell bu ne sacmalik", "olumsuz"
"Turkcell abv odam da bile cekmemeye basladin gercekten", "olumsuz"
"Turkcell superonline bok gibisin bok", "olumsuz"
"Turkcell urunu kullanirsam en adi serefsizim!", "olumsuz"
"Turkcell cekmiyor arkadaslar inanmayin", "olumsuz"
"Turkcell allah belani versin bin yasa VODAFONE", "olumsuz"
"soylesene Turkcell odamda neden cekmiyorsun?", "olumsuz"
"hic bir oparetor durust degil turkcell faturama internet paketimi asmisim diye 13 tl kitledi sozde otamatik duracakdi sahtekarlar", "olumsuz"
"ulan bu gerizekali turkcell kardesimin oldugune dair eve yazi yollamis.", "olumsuz"
"Bitmeyen fatura yapmislar omrum sizi odemekle geciyor heleki Turkcell Allah senin belani Tovbe Tovbe ya", "olumsuz"
"turkcell son zamanlarda iyice cortladi. internet hizi rezalet yer yer hic cekmiyor. kontratim bittigi an vodafone'a gececegim.", "olumsuz"
"Bu ay Turkcell'den yemedigim kazigi yedim. 50 lira yukledim ama gelin gorunki elde var 0. Bir de su iMessage uyanikligi var tabii.", "olumsuz"
"Bugun Mutluydum Ama Bu Turkcell beni Sinir etti Suanda", "olumsuz"
"Turkcell benim internetim bu hafta niye boyle yavas!!!", "olumsuz"
"Yildim vallaha yildim Allah telefonumun da turkcell'in de belasini versin", "olumsuz"
"Turkcell internet baglanti hizinda acik ara sinifta kaldi cok yazik !!! Ne eziyet cekmisim!!!", "olumsuz"
"Vodafone gibi Turkcell yapmislar olmamis bu", "olumsuz"
"6 7 senedir turkcell kullaniyorum ama allah belani versin haram zikkim olsun verdigim paralar", "olumsuz"
"Turkcell Samsun da zor cekiyo adada nasil ceksin birakin bu ayaklari", "olumsuz"
"Turkcell ne gecirdi beeee", "olumsuz"
"Turkcell galiba bana gelince internet paketini yavaslatiyor", "olumsuz"
"Hani turkcell heryerde 4 cekerdi metroda telefonla konusamiyoruz bunu bana biri aciklasin", "olumsuz"
"Turkcell reklam mesajlari icin numarami sattigin her firma icin Allah belani versin!!!", "olumsuz"
"Ulan turkcell odedigim faturalar haram olsun bole net hizi olmaz olsun!!!", "olumsuz"
"yemin ederim bu turkcell musteri hizmetleri bir ton otistik ve moronla dolu", "olumsuz"
"Embesil Turkcell bu saatte mesaj mi yollanir ustuste !", "olumsuz"
"cekim gucune sovmemek icin zor tutuyorum kendimi turkcell", "olumsuz"
